ID,Target_Al,Target_B,Target_Ca,Target_Cu,Target_Fe,Target_K,Target_Mg,Target_Mn,Target_N,Target_Na,Target_P,Target_S,Target_Zn
00A83S,783.6617606099445,0.27046533858620947,2612.5434159940323,3.1783668813467365,117.0050788101772,499.3222392886989,517.0559523598612,140.65764011107754,1.0212656609863497,43.77556990891554,11.3650933713816,11.154865386743708,1.6390272829641765
00F2Q3,721.2527317059424,0.2589583262784985,1625.945057279469,2.2635670531618337,118.7933622547654,314.01355867429635,330.2962108860623,130.2978168188544,0.8775945972113371,42.3272487845627,12.158818799974624,10.294415659034078,1.614701252822137
00FNFP,691.0079632023118,0.0,1444.1109879666235,2.0095045355714127,115.77600811445117,194.62082862607335,322.69835821149803,128.8000726223927,0.7537562513204101,0.0,0.0,0.0,0.0
01MFSS,1017.6675702719202,0.0,734.4658567528743,2.1578116045291815,96.36240513352968,190.70812075789547,176.47036342694753,112.18233344899855,0.8158545781428388,0.0,0.0,0.0,0.0
02851F,961.811648708544,0.0,2424.502159495273,3.6525999539501868,122.31830409786095,289.4351523777806,454.03601095812513,160.02285540569133,1.4631067823075017,0.0,0.0,0.0,0.0
02C3Q5,634.5067031567279,0.0,1241.1100939660353,2.360707540883839,166.13778721416844,159.4308733790846,318.0924544608283,97.29746126927378,0.9375474359908388,0.0,0.0,0.0,0.0
02I9O5,1150.0391872804641,0.0,898.9965849309683,2.88399329099357,85.7944887483877,217.3913197807629,232.0519544548203,220.3972414474143,0.8142160336995611,0.0,0.0,0.0,0.0
02L2BX,744.8203534084734,0.0,1757.9218830012499,2.5658708337840213,112.55623344830356,330.1608241250401,414.0911233651593,121.19020972331226,0.7605697063891607,0.0,0.0,0.0,0.0
02PPBB,738.4771552970867,0.26756434658714845,2454.9954541687944,2.7978401724001905,125.8575069272462,432.7920808128487,474.6623144898287,128.2058247315012,1.003603315389778,42.6596424667372,11.61648780911519,10.940150407353865,1.6503567793305538
02TS0V,962.3352083697852,0.0,1007.2902108559888,2.266883555897817,103.73816750415264,305.0800251630329,352.5593312143643,120.29721488013796,0.7946362793643669,0.0,0.0,0.0,0.0
02UQQ0,1154.3454120455062,0.0,720.2393418337388,1.6040475036485968,113.7893508692225,149.74323350021206,170.46521051332675,77.59467125330332,1.0181374109236343,0.0,0.0,0.0,0.0
02USV4,790.6132947400561,0.0,1136.9146846153287,2.4391348320605797,131.2276137302751,93.79759828925471,219.1948074576486,154.42794609110686,0.9037581832212991,0.0,0.0,0.0,0.0
03D4US,790.8597616599413,0.26954263188801714,2637.121676722374,3.2476029700440363,113.5339923224953,501.5406319330212,526.646750886106,145.5975536106253,1.0090269202285675,44.57597608780821,11.313043941553032,11.206907385983826,1.626889641409559
040ZU9,756.7707254615441,0.0,1093.4003893601907,2.0599371454481994,136.05301260638734,200.29091283118123,280.9094732964176,126.42840066206057,0.835603968751641,0.0,0.0,0.0,0.0
044JV5,697.4602077595728,0.0,664.2399835968795,1.423025958180412,145.460130584549,146.78262252625694,218.60265831070276,101.5889931159604,0.8020468912059292,0.0,0.0,0.0,0.0
04IWR9,808.8385201641523,0.0,924.8942337647321,2.5221286151848727,117.75621675341188,250.66793184418782,307.54044910700725,172.2096976756788,0.8171629921109115,0.0,0.0,0.0,0.0
04JZNB,879.5750000572651,0.0,634.1400400553924,1.9039561877730364,113.90382260899717,80.27180334578249,143.91390677866542,96.63630100443518,0.8545114150880071,0.0,0.0,0.0,0.0
